model,estimator,accuracy_in_%,runtime_in_seconds,source
KNeighborsClassifier,KNeighborsClassifier,77.2,2,unscaled
KNeighborsClassifier,KNeighborsClassifier,80.77,2,scaled
LogisticRegression,LogisticRegression,79.94,0,unscaled
LogisticRegression,LogisticRegression,79.75,0,scaled
DecisionTreeClassifier,DecisionTreeClassifier,82.15,0,unscaled
DecisionTreeClassifier,DecisionTreeClassifier,82.41,0,scaled
RandomForestClassifier,DecisionTreeClassifier,86.41,7,unscaled
RandomForestClassifier,DecisionTreeClassifier,86.57,7,scaled
GradientBoostingClassifier,GradientBoostingClassifier,81.49,9,unscaled
GradientBoostingClassifier,GradientBoostingClassifier,81.49,9,scaled
BaggingClassifier,None,85.39,3,unscaled
BaggingClassifier,None,85.21,3,scaled
BaggingClassifier,KNeighborsClassifier,77.25,18,unscaled
BaggingClassifier,KNeighborsClassifier,81.16,21,scaled
BaggingClassifier,LogisticRegression,80.05,6,unscaled
BaggingClassifier,LogisticRegression,79.89,6,scaled
BaggingClassifier,RandomForestClassifier,86.19,51,unscaled
BaggingClassifier,RandomForestClassifier,86.22,51,scaled
BaggingClassifier,GradientBoostingClassifier,81.51,67,unscaled
BaggingClassifier,GradientBoostingClassifier,81.57,67,scaled
AdaBoostClassifier,None,81.39,2,unscaled
AdaBoostClassifier,None,81.39,2,scaled
AdaBoostClassifier,LogisticRegression,79.46,29,unscaled
AdaBoostClassifier,LogisticRegression,74.8,4,scaled
AdaBoostClassifier,RandomForestClassifier,86.0,527,unscaled
AdaBoostClassifier,RandomForestClassifier,85.95,533,scaled
AdaBoostClassifier,GradientBoostingClassifier,84.06,509,unscaled
AdaBoostClassifier,GradientBoostingClassifier,84.05,520,scaled
